MutantID,Status,Output
108,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/108/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 && a + b != c) {|
109,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/109/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 && a + b >= c) {|
102,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/102/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian >= 1 && a + b > c) {|
103,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/103/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (false && a + b > c) {|
100,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/100/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == -1 && a + b > c) {|
101,LIVE,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/101/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian <= 1 && a + b > c) {|
106,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/106/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 && a - b > c) {|
107,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/107/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 && a / b > c) {|
104,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/104/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 && a % b > c) {|
105,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/105/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 && a * b > c) {|
39,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/39/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -27 +27 @@|-        if (a == c) {|+        if (false) {|
38,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/38/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -27 +27 @@|-        if (a == c) {|+        if (a >= c) {|
33,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/33/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -25 +25 @@|-            trian = trian + 1;|+            trian = trian * 1;|
32,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/32/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -25 +25 @@|-            trian = trian + 1;|+            trian = trian % 1;|
31,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/31/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -25 +25 @@|-            trian = trian + 1;|+            trian = trian + -1;|
30,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/30/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -25 +25 @@|-            trian = trian + 1;|+            trian = trian + 0;|
37,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/37/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -27 +27 @@|-        if (a == c) {|+        if (a <= c) {|
36,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/36/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -25 +25 @@|-            trian = trian + 1;|+            |
35,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/35/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -25 +25 @@|-            trian = trian + 1;|+            trian = trian / 1;|
34,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/34/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -25 +25 @@|-            trian = trian + 1;|+            trian = trian - 1;|
60,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/60/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -33 +33 @@|-        if (trian == 0) {|+        if (trian >= 0) {|
61,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/61/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -33 +33 @@|-        if (trian == 0) {|+        if (false) {|
62,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/62/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a % b <= c || a + c <= b || b + c <= a) {|
63,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/63/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a * b <= c || a + c <= b || b + c <= a) {|
64,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/64/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a - b <= c || a + c <= b || b + c <= a) {|
65,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/65/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a / b <= c || a + c <= b || b + c <= a) {|
66,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/66/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b < c || a + c <= b || b + c <= a) {|
67,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/67/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b == c || a + c <= b || b + c <= a) {|
68,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/68/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (true || a + c <= b || b + c <= a) {|
69,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/69/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a % c <= b || b + c <= a) {|
2,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/2/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -20 +20 @@|-        if (a <= 0 || b <= 0 || c <= 0) {|+        if (a <= -1 || b <= 0 || c <= 0) {|
6,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/6/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -20 +20 @@|-        if (a <= 0 || b <= 0 || c <= 0) {|+        if (a <= 0 || b <= 1 || c <= 0) {|
99,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/99/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 0 && a + b > c) {|
98,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/98/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -41 +41 @@|-            return Type.EQUILATERAL;|+            |
91,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/91/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -35 +35 @@|-                return Type.INVALID;|+                |
90,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/90/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (true) {|
93,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/93/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -40 +40 @@|-        if (trian > 3) {|+        if (trian > 0) {|
92,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/92/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -37 +37 @@|-                return Type.SCALENE;|+                |
95,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/95/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -40 +40 @@|-        if (trian > 3) {|+        if (trian != 3) {|
94,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/94/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -40 +40 @@|-        if (trian > 3) {|+        if (trian > -3) {|
97,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/97/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -40 +40 @@|-        if (trian > 3) {|+        if (false) {|
